chrom	length	bases	mean	min	max
1	21295481	163615349	7.68	0	5404
NW_024396975.1	388293	3012261	7.76	0	400
NW_024396976.1	23224	175614	7.56	0	29
NW_024396977.1	213546	942041	4.41	0	38
NW_024396978.1	91398	814268	8.91	0	156
NW_024396979.1	80962	604154	7.46	0	70
NW_024396980.1	66562	240381	3.61	0	26
NW_024396981.1	46539	306966	6.60	0	35
NW_024396982.1	40329	358844	8.90	0	42
NW_024396983.1	33728	195668	5.80	0	32
NW_024396984.1	28623	214843	7.51	0	26
2	22235516	169984892	7.64	0	2223
3	21656862	168787728	7.79	0	5828
4	21559079	162223357	7.52	0	2762
5	20978392	159292760	7.59	0	6308
6	20779476	163107754	7.85	0	3911
7	20310676	153413649	7.55	0	5967
NW_024396985.1	154489	3084335	19.96	0	2063
NW_024396986.1	123767	477594	3.86	0	37
8	20387885	155834040	7.64	0	4944
9	19838782	151831534	7.65	0	6913
10	19543518	148565398	7.60	0	4889
11	19417568	145392339	7.49	0	3476
12	19375358	146140469	7.54	0	2283
13	18562731	140590483	7.57	0	8891
14	18514894	140466465	7.59	0	5063
15	18474722	141264674	7.65	0	6636
16	18405481	140900497	7.66	0	4828
17	17724597	133271419	7.52	0	5257
18	17526884	133877856	7.64	0	6096
19	17516122	145765279	8.32	0	58155
20	17491101	130558367	7.46	0	4988
21	17150347	124169987	7.24	0	3131
22	15154462	113762148	7.51	0	6272
23	13181978	103794146	7.87	0	5549
24	13052829	101851079	7.80	0	4193
25	11599638	88872095	7.66	0	5307
26	9871873	85688712	8.68	0	7785
27	8980196	69378430	7.73	0	1609
W	2084383	43369107	20.81	0	135
NW_024396987.1	1336113	24188533	18.10	0	81
NW_024396988.1	721200	14912883	20.68	0	105
NW_024396989.1	702408	10032552	14.28	0	74
NW_024396990.1	436298	8024681	18.39	0	78
NW_024396991.1	291364	6486397	22.26	0	140
NW_024396992.1	183897	2384737	12.97	0	62
NW_024396993.1	90180	1541896	17.10	0	126
NW_024396994.1	58461	1091340	18.67	0	42
Z	27171456	115135407	4.24	0	4872
NW_024396995.1	62500	553937	8.86	0	34
NW_024396996.1	298258	622125	2.09	0	55
NW_024396997.1	273553	258022	0.94	0	10
NW_024396998.1	156241	603449	3.86	0	49
NW_024396999.1	99202	146537	1.48	0	23
NW_024397000.1	94916	99450	1.05	0	24
NW_024397001.1	88807	84222	0.95	0	12
NW_024397002.1	64072	150045	2.34	0	19
NW_024397003.1	61578	60148	0.98	0	18
NW_024397004.1	58052	152881	2.63	0	182
NW_024397005.1	54715	56880	1.04	0	15
NW_024397006.1	47058	135409	2.88	0	29
NW_024397007.1	43016	46304	1.08	0	10
NW_024397008.1	36087	42345	1.17	0	12
NW_024397009.1	35142	639183	18.19	0	62
NW_024397010.1	34603	571262	16.51	0	39
NW_024397011.1	27521	518036	18.82	0	39
NW_024397012.1	26419	48460	1.83	0	39
NW_024397013.1	25606	429688	16.78	0	39
NW_024397014.1	15516	208379	13.43	0	40
NW_024397015.1	14473	242270	16.74	0	39
total	516571003	3925664440	7.60	0	58155
