chrom	length	bases	mean	min	max
1	21295481	218715327	10.27	0	5801
NW_024396975.1	388293	3666465	9.44	0	619
NW_024396976.1	23224	215629	9.28	0	30
NW_024396977.1	213546	1191838	5.58	0	49
NW_024396978.1	91398	998453	10.92	0	203
NW_024396979.1	80962	712208	8.80	0	93
NW_024396980.1	66562	290875	4.37	0	41
NW_024396981.1	46539	367844	7.90	0	48
NW_024396982.1	40329	456362	11.32	0	53
NW_024396983.1	33728	236239	7.00	0	37
NW_024396984.1	28623	252074	8.81	0	30
2	22235516	228370583	10.27	0	2139
3	21656862	226180799	10.44	0	7967
4	21559079	218480670	10.13	0	3367
5	20978392	212281791	10.12	0	6445
6	20779476	219453844	10.56	0	3825
7	20310676	206403042	10.16	0	7225
NW_024396985.1	154489	3774990	24.44	0	1914
NW_024396986.1	123767	668336	5.40	0	68
8	20387885	208243888	10.21	0	5414
9	19838782	202810303	10.22	0	7376
10	19543518	198505970	10.16	0	5853
11	19417568	193995059	9.99	0	3895
12	19375358	194944961	10.06	0	2935
13	18562731	187816306	10.12	0	9265
14	18514894	189765433	10.25	0	6062
15	18474722	188609937	10.21	0	6767
16	18405481	189296202	10.28	0	7515
17	17724597	178584158	10.08	0	5943
18	17526884	178912546	10.21	0	6367
19	17516122	198922766	11.36	0	42260
20	17491101	175142138	10.01	0	6299
21	17150347	166885556	9.73	0	3055
22	15154462	152846183	10.09	0	7534
23	13181978	135935133	10.31	0	5983
24	13052829	137823571	10.56	0	4827
25	11599638	119811128	10.33	0	7124
26	9871873	115738654	11.72	0	10928
27	8980196	90229773	10.05	0	1576
W	2084383	5293203	2.54	0	108
NW_024396987.1	1336113	3245317	2.43	0	62
NW_024396988.1	721200	1383150	1.92	0	52
NW_024396989.1	702408	1478817	2.11	0	49
NW_024396990.1	436298	806938	1.85	0	45
NW_024396991.1	291364	876494	3.01	0	45
NW_024396992.1	183897	390765	2.12	0	41
NW_024396993.1	90180	154816	1.72	0	28
NW_024396994.1	58461	2539	0.04	0	2
Z	27171456	283750751	10.44	0	5170
NW_024396995.1	62500	742142	11.87	0	51
NW_024396996.1	298258	841407	2.82	0	70
NW_024396997.1	273553	346805	1.27	0	15
NW_024396998.1	156241	743882	4.76	0	52
NW_024396999.1	99202	207006	2.09	0	27
NW_024397000.1	94916	139640	1.47	0	56
NW_024397001.1	88807	103407	1.16	0	11
NW_024397002.1	64072	192948	3.01	0	15
NW_024397003.1	61578	80792	1.31	0	16
NW_024397004.1	58052	196321	3.38	0	275
NW_024397005.1	54715	63442	1.16	0	11
NW_024397006.1	47058	308708	6.56	0	30
NW_024397007.1	43016	57430	1.34	0	16
NW_024397008.1	36087	68841	1.91	0	19
NW_024397009.1	35142	83883	2.39	0	26
NW_024397010.1	34603	69666	2.01	0	32
NW_024397011.1	27521	699	0.03	0	2
NW_024397012.1	26419	62536	2.37	0	41
NW_024397013.1	25606	1408	0.05	0	2
NW_024397014.1	15516	374415	24.13	0	70
NW_024397015.1	14473	38819	2.68	0	18
total	516571003	5249644021	10.16	0	42260
