chrom	length	bases	mean	min	max
1	21295481	44719073	2.10	0	2307
NW_024396975.1	388293	679434	1.75	0	200
NW_024396976.1	23224	26468	1.14	0	7
NW_024396977.1	213546	163796	0.77	0	15
NW_024396978.1	91398	104486	1.14	0	19
NW_024396979.1	80962	70344	0.87	0	9
NW_024396980.1	66562	37606	0.56	0	12
NW_024396981.1	46539	40817	0.88	0	7
NW_024396982.1	40329	48743	1.21	0	10
NW_024396983.1	33728	28494	0.84	0	6
NW_024396984.1	28623	24250	0.85	0	6
2	22235516	46037531	2.07	0	349
3	21656862	46357226	2.14	0	2949
4	21559079	44756433	2.08	0	741
5	20978392	43462433	2.07	0	2122
6	20779476	44580184	2.15	0	1031
7	20310676	42686430	2.10	0	3205
NW_024396985.1	154489	1420237	9.19	0	548
NW_024396986.1	123767	165002	1.33	0	17
8	20387885	42560547	2.09	0	1663
9	19838782	42075934	2.12	0	2889
10	19543518	40555462	2.08	0	1716
11	19417568	39581897	2.04	0	1387
12	19375358	40195055	2.07	0	1047
13	18562731	39191570	2.11	0	3740
14	18514894	37996878	2.05	0	1173
15	18474722	39082248	2.12	0	3045
16	18405481	39445030	2.14	0	2933
17	17724597	37168991	2.10	0	1956
18	17526884	37057537	2.11	0	2570
19	17516122	39564670	2.26	0	6066
20	17491101	35958550	2.06	0	2401
21	17150347	34405751	2.01	0	476
22	15154462	31784080	2.10	0	1830
23	13181978	29246140	2.22	0	2560
24	13052829	28335118	2.17	0	1810
25	11599638	25373444	2.19	0	2076
26	9871873	23387247	2.37	0	2687
27	8980196	20727192	2.31	0	808
W	2084383	12370672	5.93	0	54
NW_024396987.1	1336113	6825660	5.11	0	45
NW_024396988.1	721200	4213442	5.84	0	40
NW_024396989.1	702408	2732973	3.89	0	22
NW_024396990.1	436298	2186463	5.01	0	29
NW_024396991.1	291364	1827217	6.27	0	50
NW_024396992.1	183897	642510	3.49	0	22
NW_024396993.1	90180	415043	4.60	0	29
NW_024396994.1	58461	291409	4.98	0	17
Z	27171456	31330487	1.15	0	1534
NW_024396995.1	62500	147558	2.36	0	20
NW_024396996.1	298258	220847	0.74	0	41
NW_024396997.1	273553	61759	0.23	0	4
NW_024396998.1	156241	153537	0.98	0	25
NW_024396999.1	99202	44699	0.45	0	11
NW_024397000.1	94916	28254	0.30	0	9
NW_024397001.1	88807	20777	0.23	0	3
NW_024397002.1	64072	30438	0.48	0	4
NW_024397003.1	61578	15490	0.25	0	4
NW_024397004.1	58052	46518	0.80	0	83
NW_024397005.1	54715	10591	0.19	0	3
NW_024397006.1	47058	65268	1.39	0	6
NW_024397007.1	43016	12785	0.30	0	6
NW_024397008.1	36087	10422	0.29	0	4
NW_024397009.1	35142	199962	5.69	0	29
NW_024397010.1	34603	164771	4.76	0	14
NW_024397011.1	27521	153071	5.56	0	16
NW_024397012.1	26419	12929	0.49	0	10
NW_024397013.1	25606	124946	4.88	0	13
NW_024397014.1	15516	63094	4.07	0	16
NW_024397015.1	14473	57688	3.99	0	11
total	516571003	1083583608	2.10	0	6066
