chrom	length	bases	mean	min	max
1	21295481	257404390	12.09	0	9025
NW_024396975.1	388293	4327772	11.15	0	1074
NW_024396976.1	23224	202907	8.74	0	32
NW_024396977.1	213546	1382894	6.48	0	57
NW_024396978.1	91398	854121	9.35	0	143
NW_024396979.1	80962	599405	7.40	0	50
NW_024396980.1	66562	290185	4.36	0	48
NW_024396981.1	46539	313335	6.73	0	49
NW_024396982.1	40329	401701	9.96	0	54
NW_024396983.1	33728	201339	5.97	0	33
NW_024396984.1	28623	223258	7.80	0	27
2	22235516	267270955	12.02	0	1672
3	21656862	262977615	12.14	0	8503
4	21559079	257772326	11.96	0	2563
5	20978392	249887186	11.91	0	8116
6	20779476	255829335	12.31	0	4320
7	20310676	245856210	12.10	0	9208
NW_024396985.1	154489	5724360	37.05	0	3399
NW_024396986.1	123767	1208920	9.77	0	114
8	20387885	244737068	12.00	0	5950
9	19838782	240680768	12.13	0	8222
10	19543518	233385985	11.94	0	4996
11	19417568	229422077	11.82	0	4785
12	19375358	230710704	11.91	0	3979
13	18562731	221100095	11.91	0	12792
14	18514894	221639771	11.97	0	4709
15	18474722	222540995	12.05	0	8743
16	18405481	225878529	12.27	0	10604
17	17724597	211873512	11.95	0	7681
18	17526884	213955931	12.21	0	7481
19	17516122	226204618	12.91	0	34525
20	17491101	208850647	11.94	0	8057
21	17150347	198818049	11.59	0	2427
22	15154462	183880404	12.13	0	6403
23	13181978	168359255	12.77	0	8103
24	13052829	170785496	13.08	0	5915
25	11599638	149955861	12.93	0	6111
26	9871873	143238347	14.51	0	8939
27	8980196	117945177	13.13	0	1488
W	2084383	5753612	2.76	0	174
NW_024396987.1	1336113	3592866	2.69	0	76
NW_024396988.1	721200	1667188	2.31	0	56
NW_024396989.1	702408	1583463	2.25	0	70
NW_024396990.1	436298	875708	2.01	0	62
NW_024396991.1	291364	975097	3.35	0	62
NW_024396992.1	183897	400247	2.18	0	45
NW_024396993.1	90180	181122	2.01	0	42
NW_024396994.1	58461	3679	0.06	0	3
Z	27171456	327624165	12.06	0	6000
NW_024396995.1	62500	811909	12.99	0	54
NW_024396996.1	298258	1249236	4.19	0	142
NW_024396997.1	273553	701258	2.56	0	96
NW_024396998.1	156241	1259491	8.06	0	145
NW_024396999.1	99202	331490	3.34	0	33
NW_024397000.1	94916	259967	2.74	0	58
NW_024397001.1	88807	235387	2.65	0	28
NW_024397002.1	64072	241663	3.77	0	27
NW_024397003.1	61578	160327	2.60	0	39
NW_024397004.1	58052	318182	5.48	0	444
NW_024397005.1	54715	130113	2.38	0	14
NW_024397006.1	47058	560448	11.91	0	48
NW_024397007.1	43016	108966	2.53	0	21
NW_024397008.1	36087	115076	3.19	0	17
NW_024397009.1	35142	91152	2.59	0	29
NW_024397010.1	34603	111091	3.21	0	43
NW_024397011.1	27521	3510	0.13	0	4
NW_024397012.1	26419	101644	3.85	0	40
NW_024397013.1	25606	1578	0.06	0	3
NW_024397014.1	15516	455422	29.35	0	100
NW_024397015.1	14473	38454	2.66	0	17
total	516571003	6226635014	12.05	0	34525
