chrom	length	bases	mean	min	max
1	21295481	175760216	8.25	0	4126
NW_024396975.1	388293	2564137	6.60	0	537
NW_024396976.1	23224	111060	4.78	0	20
NW_024396977.1	213546	720548	3.37	0	38
NW_024396978.1	91398	510409	5.58	0	78
NW_024396979.1	80962	348447	4.30	0	43
NW_024396980.1	66562	150956	2.27	0	30
NW_024396981.1	46539	173339	3.72	0	25
NW_024396982.1	40329	208868	5.18	0	34
NW_024396983.1	33728	108252	3.21	0	17
NW_024396984.1	28623	133834	4.68	0	20
2	22235516	185268830	8.33	0	1480
3	21656862	182587358	8.43	0	6475
4	21559079	177261310	8.22	0	2411
5	20978392	172943228	8.24	0	4238
6	20779476	178009069	8.57	0	2760
7	20310676	167673658	8.26	0	5065
NW_024396985.1	154489	3014988	19.52	0	2087
NW_024396986.1	123767	659390	5.33	0	55
8	20387885	168564327	8.27	0	4639
9	19838782	165285465	8.33	0	4259
10	19543518	161121678	8.24	0	3832
11	19417568	157831873	8.13	0	2504
12	19375358	159874303	8.25	0	2696
13	18562731	152831358	8.23	0	6018
14	18514894	153831960	8.31	0	4288
15	18474722	152983181	8.28	0	4129
16	18405481	153750821	8.35	0	6707
17	17724597	145775675	8.22	0	4297
18	17526884	145349919	8.29	0	4076
19	17516122	157714805	9.00	0	31384
20	17491101	142686106	8.16	0	4289
21	17150347	136808755	7.98	0	2478
22	15154462	124862625	8.24	0	4588
23	13181978	110490002	8.38	0	3929
24	13052829	112810867	8.64	0	3378
25	11599638	98330406	8.48	0	5311
26	9871873	90389498	9.16	0	8059
27	8980196	73982220	8.24	0	981
W	2084383	4206047	2.02	0	88
NW_024396987.1	1336113	2474955	1.85	0	50
NW_024396988.1	721200	1087867	1.51	0	44
NW_024396989.1	702408	1100017	1.57	0	32
NW_024396990.1	436298	652852	1.50	0	40
NW_024396991.1	291364	677676	2.33	0	36
NW_024396992.1	183897	318129	1.73	0	35
NW_024396993.1	90180	129154	1.43	0	25
NW_024396994.1	58461	3145	0.05	0	2
Z	27171456	231011161	8.50	0	3376
NW_024396995.1	62500	551587	8.83	0	50
NW_024396996.1	298258	706628	2.37	0	58
NW_024396997.1	273553	313262	1.15	0	43
NW_024396998.1	156241	646463	4.14	0	51
NW_024396999.1	99202	185008	1.86	0	26
NW_024397000.1	94916	126006	1.33	0	31
NW_024397001.1	88807	105652	1.19	0	15
NW_024397002.1	64072	165106	2.58	0	16
NW_024397003.1	61578	79018	1.28	0	19
NW_024397004.1	58052	168062	2.90	0	197
NW_024397005.1	54715	67396	1.23	0	11
NW_024397006.1	47058	181672	3.86	0	22
NW_024397007.1	43016	52325	1.22	0	9
NW_024397008.1	36087	50808	1.41	0	10
NW_024397009.1	35142	82260	2.34	0	35
NW_024397010.1	34603	20908	0.60	0	13
NW_024397011.1	27521	2723	0.10	0	3
NW_024397012.1	26419	57554	2.18	0	29
NW_024397013.1	25606	1674	0.07	0	2
NW_024397014.1	15516	300100	19.34	0	50
NW_024397015.1	14473	19444	1.34	0	19
total	516571003	4259028400	8.24	0	31384
