chrom	length	bases	mean	min	max
1	21295481	435164597	20.43	0	8265
NW_024396975.1	388293	4527799	11.66	0	669
NW_024396976.1	23224	228305	9.83	0	54
NW_024396977.1	213546	1490929	6.98	0	80
NW_024396978.1	91398	960218	10.51	0	138
NW_024396979.1	80962	629501	7.78	0	82
NW_024396980.1	66562	318352	4.78	0	85
NW_024396981.1	46539	316594	6.80	0	67
NW_024396982.1	40329	395844	9.82	0	79
NW_024396983.1	33728	194425	5.76	0	29
NW_024396984.1	28623	254256	8.88	0	36
2	22235516	455707466	20.49	0	1114
3	21656862	443471560	20.48	0	12878
4	21559079	434337815	20.15	0	2555
5	20978392	424329830	20.23	0	9757
6	20779476	435108705	20.94	0	4885
7	20310676	415837395	20.47	0	13482
NW_024396985.1	154489	5040999	32.63	0	2355
NW_024396986.1	123767	1931608	15.61	0	152
8	20387885	412021017	20.21	0	7515
9	19838782	405972318	20.46	0	13047
10	19543518	394175764	20.17	0	7315
11	19417568	389052451	20.04	0	5347
12	19375358	393068975	20.29	0	4083
13	18562731	373110548	20.10	0	14444
14	18514894	375013371	20.25	0	4100
15	18474722	377228801	20.42	0	14009
16	18405481	374755823	20.36	0	7850
17	17724597	356198539	20.10	0	8863
18	17526884	358129697	20.43	0	10508
19	17516122	366046371	20.90	0	53099
20	17491101	353739379	20.22	0	9816
21	17150347	345037201	20.12	0	1874
22	15154462	307462085	20.29	0	7434
23	13181978	274498969	20.82	0	10605
24	13052829	274407006	21.02	0	7107
25	11599638	238266184	20.54	0	7771
26	9871873	228258674	23.12	0	10163
27	8980196	190259057	21.19	0	2373
W	2084383	11129610	5.34	0	318
NW_024396987.1	1336113	6459487	4.83	0	138
NW_024396988.1	721200	2759154	3.83	0	99
NW_024396989.1	702408	2988377	4.25	0	107
NW_024396990.1	436298	1726045	3.96	0	116
NW_024396991.1	291364	1693350	5.81	0	84
NW_024396992.1	183897	790713	4.30	0	86
NW_024396993.1	90180	289339	3.21	0	54
NW_024396994.1	58461	3714	0.06	0	3
Z	27171456	564080143	20.76	0	6368
NW_024396995.1	62500	1365673	21.85	0	133
NW_024396996.1	298258	1555948	5.22	0	78
NW_024396997.1	273553	865242	3.16	0	41
NW_024396998.1	156241	1745336	11.17	0	105
NW_024396999.1	99202	445231	4.49	0	62
NW_024397000.1	94916	314965	3.32	0	98
NW_024397001.1	88807	281888	3.17	0	48
NW_024397002.1	64072	393467	6.14	0	31
NW_024397003.1	61578	196959	3.20	0	48
NW_024397004.1	58052	360690	6.21	0	142
NW_024397005.1	54715	151543	2.77	0	13
NW_024397006.1	47058	733218	15.58	0	87
NW_024397007.1	43016	138694	3.22	0	22
NW_024397008.1	36087	138351	3.83	0	49
NW_024397009.1	35142	195867	5.57	0	67
NW_024397010.1	34603	39226	1.13	0	22
NW_024397011.1	27521	1072	0.04	0	2
NW_024397012.1	26419	174179	6.59	0	112
NW_024397013.1	25606	1173	0.05	0	2
NW_024397014.1	15516	553151	35.65	0	120
NW_024397015.1	14473	97715	6.75	0	81
total	516571003	10448617948	20.23	0	53099
