chrom	length	bases	mean	min	max
1	21295481	55749466	2.62	0	2798
NW_024396975.1	388293	928517	2.39	0	294
NW_024396976.1	23224	29654	1.28	0	8
NW_024396977.1	213546	210261	0.98	0	13
NW_024396978.1	91398	135646	1.48	0	19
NW_024396979.1	80962	93683	1.16	0	11
NW_024396980.1	66562	42177	0.63	0	12
NW_024396981.1	46539	46926	1.01	0	9
NW_024396982.1	40329	53502	1.33	0	9
NW_024396983.1	33728	25569	0.76	0	9
NW_024396984.1	28623	33903	1.18	0	7
2	22235516	56965634	2.56	0	369
3	21656862	56777112	2.62	0	2834
4	21559079	55755056	2.59	0	1068
5	20978392	54226778	2.58	0	2411
6	20779476	55237342	2.66	0	980
7	20310676	52374771	2.58	0	3490
NW_024396985.1	154489	1732031	11.21	0	1168
NW_024396986.1	123767	258056	2.09	0	21
8	20387885	52717184	2.59	0	1931
9	19838782	52068712	2.62	0	2951
10	19543518	50080719	2.56	0	1791
11	19417568	49168123	2.53	0	1469
12	19375358	49957949	2.58	0	1434
13	18562731	48157489	2.59	0	3709
14	18514894	47880840	2.59	0	1314
15	18474722	47898707	2.59	0	3025
16	18405481	48684446	2.65	0	4010
17	17724597	45542456	2.57	0	2552
18	17526884	45341470	2.59	0	2443
19	17516122	48998972	2.80	0	7592
20	17491101	44259628	2.53	0	2812
21	17150347	42301163	2.47	0	483
22	15154462	39151835	2.58	0	2042
23	13181978	35631227	2.70	0	2535
24	13052829	34540318	2.65	0	2104
25	11599638	31198413	2.69	0	2042
26	9871873	28549249	2.89	0	2707
27	8980196	25897520	2.88	0	1214
W	2084383	16535527	7.93	0	83
NW_024396987.1	1336113	8964046	6.71	0	47
NW_024396988.1	721200	5594529	7.76	0	58
NW_024396989.1	702408	3604290	5.13	0	32
NW_024396990.1	436298	2885216	6.61	0	41
NW_024396991.1	291364	2366075	8.12	0	49
NW_024396992.1	183897	812638	4.42	0	23
NW_024396993.1	90180	563622	6.25	0	47
NW_024396994.1	58461	363349	6.22	0	23
Z	27171456	38438619	1.41	0	1569
NW_024396995.1	62500	170016	2.72	0	15
NW_024396996.1	298258	316427	1.06	0	50
NW_024396997.1	273553	117853	0.43	0	5
NW_024396998.1	156241	226408	1.45	0	42
NW_024396999.1	99202	64260	0.65	0	11
NW_024397000.1	94916	44028	0.46	0	11
NW_024397001.1	88807	37635	0.42	0	5
NW_024397002.1	64072	44987	0.70	0	5
NW_024397003.1	61578	28255	0.46	0	8
NW_024397004.1	58052	71818	1.24	0	89
NW_024397005.1	54715	26171	0.48	0	4
NW_024397006.1	47058	25900	0.55	0	8
NW_024397007.1	43016	21063	0.49	0	5
NW_024397008.1	36087	21042	0.58	0	8
NW_024397009.1	35142	234788	6.68	0	29
NW_024397010.1	34603	207108	5.99	0	20
NW_024397011.1	27521	189761	6.90	0	18
NW_024397012.1	26419	27048	1.02	0	12
NW_024397013.1	25606	157384	6.15	0	16
NW_024397014.1	15516	57185	3.69	0	13
NW_024397015.1	14473	75351	5.21	0	16
total	516571003	1340994903	2.60	0	7592
