chrom	length	bases	mean	min	max
1	21295481	63813891	3.00	0	3200
NW_024396975.1	388293	1279068	3.29	0	460
NW_024396976.1	23224	53837	2.32	0	11
NW_024396977.1	213546	316704	1.48	0	19
NW_024396978.1	91398	217976	2.38	0	42
NW_024396979.1	80962	161478	1.99	0	12
NW_024396980.1	66562	73378	1.10	0	11
NW_024396981.1	46539	75978	1.63	0	11
NW_024396982.1	40329	102032	2.53	0	16
NW_024396983.1	33728	56126	1.66	0	12
NW_024396984.1	28623	58456	2.04	0	11
2	22235516	65315281	2.94	0	650
3	21656862	65192618	3.01	0	2643
4	21559079	63613367	2.95	0	988
5	20978392	61792271	2.95	0	2685
6	20779476	62819801	3.02	0	1489
7	20310676	60067256	2.96	0	2970
NW_024396985.1	154489	2341047	15.15	0	1204
NW_024396986.1	123767	303326	2.45	0	46
8	20387885	60153580	2.95	0	1866
9	19838782	59513894	3.00	0	2934
10	19543518	57346941	2.93	0	1757
11	19417568	56056630	2.89	0	1547
12	19375358	57025575	2.94	0	1794
13	18562731	54758569	2.95	0	3933
14	18514894	54605901	2.95	0	1602
15	18474722	54642656	2.96	0	3114
16	18405481	56042618	3.04	0	5891
17	17724597	51973060	2.93	0	2470
18	17526884	52153011	2.98	0	2509
19	17516122	54474668	3.11	0	14920
20	17491101	50734508	2.90	0	2563
21	17150347	48522780	2.83	0	975
22	15154462	45016071	2.97	0	2369
23	13181978	39968255	3.03	0	2531
24	13052829	39601620	3.03	0	1903
25	11599638	35927302	3.10	0	2139
26	9871873	32561194	3.30	0	2849
27	8980196	28609157	3.19	0	1214
W	2084383	1524280	0.73	0	42
NW_024396987.1	1336113	858956	0.64	0	20
NW_024396988.1	721200	398863	0.55	0	19
NW_024396989.1	702408	378489	0.54	0	18
NW_024396990.1	436298	240147	0.55	0	15
NW_024396991.1	291364	237363	0.81	0	14
NW_024396992.1	183897	99084	0.54	0	17
NW_024396993.1	90180	48067	0.53	0	14
NW_024396994.1	58461	1395	0.02	0	1
Z	27171456	81585303	3.00	0	2032
NW_024396995.1	62500	200154	3.20	0	24
NW_024396996.1	298258	359715	1.21	0	58
NW_024396997.1	273553	115662	0.42	0	10
NW_024396998.1	156241	234274	1.50	0	39
NW_024396999.1	99202	62097	0.63	0	11
NW_024397000.1	94916	44142	0.47	0	12
NW_024397001.1	88807	39074	0.44	0	5
NW_024397002.1	64072	49809	0.78	0	9
NW_024397003.1	61578	25871	0.42	0	8
NW_024397004.1	58052	103235	1.78	0	172
NW_024397005.1	54715	26535	0.48	0	4
NW_024397006.1	47058	88658	1.88	0	10
NW_024397007.1	43016	19575	0.46	0	8
NW_024397008.1	36087	21000	0.58	0	8
NW_024397009.1	35142	26323	0.75	0	10
NW_024397010.1	34603	7323	0.21	0	6
NW_024397011.1	27521	679	0.02	0	1
NW_024397012.1	26419	21487	0.81	0	10
NW_024397013.1	25606	1019	0.04	0	2
NW_024397014.1	15516	80516	5.19	0	18
NW_024397015.1	14473	8596	0.59	0	6
total	516571003	1524249572	2.95	0	14920
