chrom	length	bases	mean	min	max
1	21295481	288896352	13.57	0	19996
NW_024396975.1	388293	3798080	9.78	0	997
NW_024396976.1	23224	175237	7.55	0	41
NW_024396977.1	213546	1187040	5.56	0	48
NW_024396978.1	91398	734741	8.04	0	106
NW_024396979.1	80962	550700	6.80	0	56
NW_024396980.1	66562	279776	4.20	0	39
NW_024396981.1	46539	270037	5.80	0	50
NW_024396982.1	40329	324921	8.06	0	60
NW_024396983.1	33728	163505	4.85	0	23
NW_024396984.1	28623	188569	6.59	0	29
2	22235516	300110950	13.50	0	6318
3	21656862	301636360	13.93	0	22669
4	21559079	287429226	13.33	0	11608
5	20978392	285031181	13.59	0	24443
6	20779476	289866674	13.95	0	13030
7	20310676	275589475	13.57	0	24214
NW_024396985.1	154489	4452980	28.82	0	3135
NW_024396986.1	123767	1272536	10.28	0	116
8	20387885	276709746	13.57	0	17909
9	19838782	275660511	13.90	0	28058
10	19543518	266687359	13.65	0	17211
11	19417568	258474479	13.31	0	15818
12	19375358	260820660	13.46	0	9170
13	18562731	257312085	13.86	0	50512
14	18514894	251130466	13.56	0	19638
15	18474722	256092202	13.86	0	25573
16	18405481	251684881	13.67	0	17388
17	17724597	239355809	13.50	0	20369
18	17526884	240281941	13.71	0	22761
19	17516122	252216591	14.40	0	40477
20	17491101	232598923	13.30	0	17643
21	17150347	224125765	13.07	0	9556
22	15154462	206548299	13.63	0	23547
23	13181978	186274766	14.13	0	23542
24	13052829	179765881	13.77	0	15200
25	11599638	156880065	13.52	0	23669
26	9871873	150152389	15.21	0	41434
27	8980196	122955790	13.69	0	4228
W	2084383	6530110	3.13	0	166
NW_024396987.1	1336113	4079805	3.05	0	80
NW_024396988.1	721200	1729004	2.40	0	78
NW_024396989.1	702408	1654756	2.36	0	75
NW_024396990.1	436298	982923	2.25	0	54
NW_024396991.1	291364	998592	3.43	0	59
NW_024396992.1	183897	490646	2.67	0	49
NW_024396993.1	90180	180222	2.00	0	46
NW_024396994.1	58461	4188	0.07	0	2
Z	27171456	367896970	13.54	0	18851
NW_024396995.1	62500	902091	14.43	0	69
NW_024396996.1	298258	1238901	4.15	0	295
NW_024396997.1	273553	751184	2.75	0	33
NW_024396998.1	156241	964904	6.18	0	91
NW_024396999.1	99202	381635	3.85	0	47
NW_024397000.1	94916	278917	2.94	0	52
NW_024397001.1	88807	232810	2.62	0	25
NW_024397002.1	64072	250558	3.91	0	30
NW_024397003.1	61578	170594	2.77	0	30
NW_024397004.1	58052	309904	5.34	0	385
NW_024397005.1	54715	130317	2.38	0	11
NW_024397006.1	47058	202338	4.30	0	48
NW_024397007.1	43016	126673	2.94	0	24
NW_024397008.1	36087	116692	3.23	0	34
NW_024397009.1	35142	135525	3.86	0	40
NW_024397010.1	34603	71469	2.07	0	38
NW_024397011.1	27521	3383	0.12	0	5
NW_024397012.1	26419	110319	4.18	0	57
NW_024397013.1	25606	3158	0.12	0	4
NW_024397014.1	15516	261778	16.87	0	60
NW_024397015.1	14473	43366	3.00	0	26
total	516571003	6978920680	13.51	0	50512
