chrom	length	bases	mean	min	max
1	21295481	249219746	11.70	0	5385
NW_024396975.1	388293	4460575	11.49	0	682
NW_024396976.1	23224	237782	10.24	0	33
NW_024396977.1	213546	1527183	7.15	0	71
NW_024396978.1	91398	1198845	13.12	0	231
NW_024396979.1	80962	886887	10.95	0	106
NW_024396980.1	66562	370270	5.56	0	40
NW_024396981.1	46539	454179	9.76	0	69
NW_024396982.1	40329	556593	13.80	0	72
NW_024396983.1	33728	292036	8.66	0	39
NW_024396984.1	28623	346489	12.11	0	47
2	22235516	261420484	11.76	0	1781
3	21656862	256141322	11.83	0	6079
4	21559079	248978249	11.55	0	2678
5	20978392	242298547	11.55	0	5614
6	20779476	249040489	11.98	0	3208
7	20310676	236224219	11.63	0	6115
NW_024396985.1	154489	3862910	25.00	0	2565
NW_024396986.1	123767	1057848	8.55	0	125
8	20387885	235980045	11.57	0	3760
9	19838782	230576622	11.62	0	6266
10	19543518	226750429	11.60	0	4875
11	19417568	222158060	11.44	0	3412
12	19375358	223280655	11.52	0	3272
13	18562731	213881495	11.52	0	8212
14	18514894	215719894	11.65	0	4812
15	18474722	215189398	11.65	0	6031
16	18405481	215382634	11.70	0	7738
17	17724597	204252161	11.52	0	5295
18	17526884	205627039	11.73	0	5829
19	17516122	216958435	12.39	0	44790
20	17491101	201344193	11.51	0	5602
21	17150347	191278317	11.15	0	2438
22	15154462	175101905	11.55	0	5477
23	13181978	154852503	11.75	0	5631
24	13052829	155013872	11.88	0	4217
25	11599638	135382459	11.67	0	5330
26	9871873	130299114	13.20	0	7700
27	8980196	104425114	11.63	0	1526
W	2084383	6159428	2.96	0	153
NW_024396987.1	1336113	3824978	2.86	0	88
NW_024396988.1	721200	1614142	2.24	0	59
NW_024396989.1	702408	1621765	2.31	0	51
NW_024396990.1	436298	911590	2.09	0	46
NW_024396991.1	291364	917537	3.15	0	51
NW_024396992.1	183897	456969	2.48	0	39
NW_024396993.1	90180	201661	2.24	0	37
NW_024396994.1	58461	4166	0.07	0	2
Z	27171456	324629759	11.95	0	4248
NW_024396995.1	62500	744531	11.91	0	58
NW_024396996.1	298258	1110009	3.72	0	73
NW_024396997.1	273553	610955	2.23	0	92
NW_024396998.1	156241	1017178	6.51	0	50
NW_024396999.1	99202	303168	3.06	0	35
NW_024397000.1	94916	225493	2.38	0	60
NW_024397001.1	88807	201356	2.27	0	21
NW_024397002.1	64072	235733	3.68	0	20
NW_024397003.1	61578	142020	2.31	0	24
NW_024397004.1	58052	260707	4.49	0	225
NW_024397005.1	54715	110583	2.02	0	29
NW_024397006.1	47058	354448	7.53	0	33
NW_024397007.1	43016	108235	2.52	0	19
NW_024397008.1	36087	84717	2.35	0	19
NW_024397009.1	35142	81095	2.31	0	27
NW_024397010.1	34603	35288	1.02	0	17
NW_024397011.1	27521	3569	0.13	0	2
NW_024397012.1	26419	98791	3.74	0	40
NW_024397013.1	25606	1292	0.05	0	1
NW_024397014.1	15516	303535	19.56	0	55
NW_024397015.1	14473	44306	3.06	0	26
total	516571003	5978448001	11.57	0	44790
