chrom	length	bases	mean	min	max
1	21295481	212893457	10.00	0	9376
NW_024396975.1	388293	2931313	7.55	0	720
NW_024396976.1	23224	124330	5.35	0	26
NW_024396977.1	213546	940930	4.41	0	32
NW_024396978.1	91398	567310	6.21	0	88
NW_024396979.1	80962	415905	5.14	0	51
NW_024396980.1	66562	224664	3.38	0	41
NW_024396981.1	46539	214657	4.61	0	42
NW_024396982.1	40329	242001	6.00	0	50
NW_024396983.1	33728	141210	4.19	0	23
NW_024396984.1	28623	155199	5.42	0	21
2	22235516	221663198	9.97	0	1835
3	21656862	222126977	10.26	0	11907
4	21559079	213143913	9.89	0	4059
5	20978392	208495749	9.94	0	11960
6	20779476	213653367	10.28	0	5689
7	20310676	204223813	10.05	0	14197
NW_024396985.1	154489	3821468	24.74	0	1914
NW_024396986.1	123767	1033863	8.35	0	81
8	20387885	202481036	9.93	0	7146
9	19838782	202362916	10.20	0	15531
10	19543518	193723087	9.91	0	8874
11	19417568	191747396	9.87	0	7210
12	19375358	194815193	10.05	0	4795
13	18562731	188220296	10.14	0	20350
14	18514894	185222451	10.00	0	7150
15	18474722	187121642	10.13	0	15120
16	18405481	186517272	10.13	0	8417
17	17724597	178323697	10.06	0	10490
18	17526884	176323813	10.06	0	12457
19	17516122	195365794	11.15	0	31382
20	17491101	172548359	9.86	0	10442
21	17150347	164631538	9.60	0	2368
22	15154462	152129755	10.04	0	8410
23	13181978	138311751	10.49	0	12810
24	13052829	137872707	10.56	0	8204
25	11599638	119836586	10.33	0	10468
26	9871873	117171402	11.87	0	16043
27	8980196	99605716	11.09	0	4164
W	2084383	53899812	25.86	0	225
NW_024396987.1	1336113	29326013	21.95	0	102
NW_024396988.1	721200	18387796	25.50	0	157
NW_024396989.1	702408	12061767	17.17	0	107
NW_024396990.1	436298	9538368	21.86	0	93
NW_024396991.1	291364	7696367	26.41	0	159
NW_024396992.1	183897	2776286	15.10	0	90
NW_024396993.1	90180	1858199	20.61	0	176
NW_024396994.1	58461	1238882	21.19	0	49
Z	27171456	149994499	5.52	0	7559
NW_024396995.1	62500	821462	13.14	0	72
NW_024396996.1	298258	1087597	3.65	0	150
NW_024396997.1	273553	645890	2.36	0	53
NW_024396998.1	156241	906779	5.80	0	61
NW_024396999.1	99202	296314	2.99	0	44
NW_024397000.1	94916	210665	2.22	0	66
NW_024397001.1	88807	205988	2.32	0	22
NW_024397002.1	64072	212200	3.31	0	18
NW_024397003.1	61578	140858	2.29	0	34
NW_024397004.1	58052	228819	3.94	0	176
NW_024397005.1	54715	108247	1.98	0	13
NW_024397006.1	47058	176458	3.75	0	35
NW_024397007.1	43016	102591	2.38	0	20
NW_024397008.1	36087	105724	2.93	0	31
NW_024397009.1	35142	790435	22.49	0	62
NW_024397010.1	34603	681271	19.69	0	51
NW_024397011.1	27521	605404	22.00	0	46
NW_024397012.1	26419	87285	3.30	0	58
NW_024397013.1	25606	492777	19.24	0	46
NW_024397014.1	15516	302526	19.50	0	74
NW_024397015.1	14473	251913	17.41	0	46
total	516571003	5186584923	10.04	0	31382
