chrom	length	bases	mean	min	max
1	21295481	309304923	14.52	0	3833
NW_024396975.1	388293	3478292	8.96	0	412
NW_024396976.1	23224	184538	7.95	0	28
NW_024396977.1	213546	1087258	5.09	0	43
NW_024396978.1	91398	743515	8.13	0	123
NW_024396979.1	80962	578899	7.15	0	59
NW_024396980.1	66562	248465	3.73	0	42
NW_024396981.1	46539	258486	5.55	0	40
NW_024396982.1	40329	337403	8.37	0	48
NW_024396983.1	33728	173424	5.14	0	27
NW_024396984.1	28623	196950	6.88	0	27
2	22235516	323641932	14.56	0	838
3	21656862	316701970	14.62	0	6106
4	21559079	309836743	14.37	0	1173
5	20978392	302913418	14.44	0	5267
6	20779476	313089136	15.07	0	2689
7	20310676	293147393	14.43	0	6365
NW_024396985.1	154489	4084653	26.44	0	1119
NW_024396986.1	123767	1042343	8.42	0	100
8	20387885	293757677	14.41	0	3945
9	19838782	286352124	14.43	0	7373
10	19543518	280662044	14.36	0	4331
11	19417568	277173918	14.27	0	2654
12	19375358	278484829	14.37	0	1927
13	18562731	265275056	14.29	0	5837
14	18514894	269023679	14.53	0	2361
15	18474722	267593146	14.48	0	7778
16	18405481	266585071	14.48	0	4882
17	17724597	252790770	14.26	0	5234
18	17526884	254517944	14.52	0	5764
19	17516122	267652125	15.28	0	40972
20	17491101	249174722	14.25	0	5301
21	17150347	236999520	13.82	0	975
22	15154462	215818685	14.24	0	4383
23	13181978	192047427	14.57	0	5381
24	13052829	192914618	14.78	0	3851
25	11599638	166961776	14.39	0	2972
26	9871873	161221536	16.33	0	4346
27	8980196	127204162	14.16	0	1371
W	2084383	86692053	41.59	0	239
NW_024396987.1	1336113	49035061	36.70	0	164
NW_024396988.1	721200	31129994	43.16	0	214
NW_024396989.1	702408	20576777	29.29	0	145
NW_024396990.1	436298	16572242	37.98	0	143
NW_024396991.1	291364	13173000	45.21	0	278
NW_024396992.1	183897	5050026	27.46	0	108
NW_024396993.1	90180	3294648	36.53	0	258
NW_024396994.1	58461	2242661	38.36	0	92
Z	27171456	219901434	8.09	0	3846
NW_024396995.1	62500	1169957	18.72	0	69
NW_024396996.1	298258	1147898	3.85	0	70
NW_024396997.1	273553	463468	1.69	0	30
NW_024396998.1	156241	1183824	7.58	0	64
NW_024396999.1	99202	318121	3.21	0	54
NW_024397000.1	94916	173886	1.83	0	45
NW_024397001.1	88807	141936	1.60	0	22
NW_024397002.1	64072	276081	4.31	0	21
NW_024397003.1	61578	107250	1.74	0	24
NW_024397004.1	58052	203133	3.50	0	131
NW_024397005.1	54715	95365	1.74	0	29
NW_024397006.1	47058	419428	8.91	0	33
NW_024397007.1	43016	78070	1.81	0	15
NW_024397008.1	36087	79292	2.20	0	21
NW_024397009.1	35142	1356469	38.60	0	130
NW_024397010.1	34603	1213783	35.08	0	76
NW_024397011.1	27521	1099506	39.95	0	74
NW_024397012.1	26419	93934	3.56	0	55
NW_024397013.1	25606	933134	36.44	0	70
NW_024397014.1	15516	388713	25.05	0	66
NW_024397015.1	14473	425480	29.40	0	57
total	516571003	7442297194	14.41	0	40972
