chrom	length	bases	mean	min	max
1	21295481	300337329	14.10	0	12459
NW_024396975.1	388293	4294027	11.06	0	748
NW_024396976.1	23224	233326	10.05	0	39
NW_024396977.1	213546	1445104	6.77	0	57
NW_024396978.1	91398	1155785	12.65	0	200
NW_024396979.1	80962	847492	10.47	0	118
NW_024396980.1	66562	350945	5.27	0	42
NW_024396981.1	46539	443606	9.53	0	80
NW_024396982.1	40329	556279	13.79	0	106
NW_024396983.1	33728	266614	7.90	0	42
NW_024396984.1	28623	319614	11.17	0	43
2	22235516	309544404	13.92	0	3813
3	21656862	306367001	14.15	0	12575
4	21559079	297710287	13.81	0	5327
5	20978392	291319070	13.89	0	12028
6	20779476	297609861	14.32	0	8181
7	20310676	281697074	13.87	0	15041
NW_024396985.1	154489	5010033	32.43	0	2390
NW_024396986.1	123767	868193	7.01	0	66
8	20387885	284620513	13.96	0	9254
9	19838782	280361451	14.13	0	14293
10	19543518	272999188	13.97	0	9350
11	19417568	266284777	13.71	0	6838
12	19375358	268869077	13.88	0	4816
13	18562731	257856177	13.89	0	20318
14	18514894	257537918	13.91	0	9484
15	18474722	261197706	14.14	0	14451
16	18405481	257437758	13.99	0	10280
17	17724597	243924878	13.76	0	13725
18	17526884	245718212	14.02	0	12168
19	17516122	255281369	14.57	0	45585
20	17491101	240990913	13.78	0	11144
21	17150347	233132599	13.59	0	5579
22	15154462	209854624	13.85	0	11606
23	13181978	194201790	14.73	0	12607
24	13052829	182797606	14.00	0	10301
25	11599638	160372767	13.83	0	11578
26	9871873	150009037	15.20	0	16086
27	8980196	124032881	13.81	0	2597
W	2084383	84374716	40.48	0	398
NW_024396987.1	1336113	45112128	33.76	0	164
NW_024396988.1	721200	27848114	38.61	0	255
NW_024396989.1	702408	18553501	26.41	0	142
NW_024396990.1	436298	14400856	33.01	0	158
NW_024396991.1	291364	12130104	41.63	0	224
NW_024396992.1	183897	4219813	22.95	0	95
NW_024396993.1	90180	2703248	29.98	0	206
NW_024396994.1	58461	1887774	32.29	0	70
Z	27171456	208953012	7.69	0	9681
NW_024396995.1	62500	912119	14.59	0	67
NW_024396996.1	298258	975192	3.27	0	72
NW_024396997.1	273553	489782	1.79	0	20
NW_024396998.1	156241	895241	5.73	0	60
NW_024396999.1	99202	255587	2.58	0	40
NW_024397000.1	94916	182054	1.92	0	62
NW_024397001.1	88807	167270	1.88	0	27
NW_024397002.1	64072	215657	3.37	0	28
NW_024397003.1	61578	120024	1.95	0	32
NW_024397004.1	58052	217798	3.75	0	255
NW_024397005.1	54715	96941	1.77	0	12
NW_024397006.1	47058	372330	7.91	0	42
NW_024397007.1	43016	80316	1.87	0	17
NW_024397008.1	36087	77804	2.16	0	12
NW_024397009.1	35142	1157911	32.95	0	114
NW_024397010.1	34603	984827	28.46	0	76
NW_024397011.1	27521	920281	33.44	0	64
NW_024397012.1	26419	78025	2.95	0	49
NW_024397013.1	25606	764180	29.84	0	67
NW_024397014.1	15516	225691	14.55	0	50
NW_024397015.1	14473	399790	27.62	0	68
total	516571003	7177629371	13.89	0	45585
