chrom	length	bases	mean	min	max
1	21295481	168502588	7.91	0	4666
NW_024396975.1	388293	2218821	5.71	0	413
NW_024396976.1	23224	111557	4.80	0	20
NW_024396977.1	213546	679178	3.18	0	30
NW_024396978.1	91398	453563	4.96	0	94
NW_024396979.1	80962	346487	4.28	0	34
NW_024396980.1	66562	157560	2.37	0	28
NW_024396981.1	46539	167547	3.60	0	24
NW_024396982.1	40329	198382	4.92	0	21
NW_024396983.1	33728	116901	3.47	0	19
NW_024396984.1	28623	132767	4.64	0	23
2	22235516	177100816	7.96	0	1789
3	21656862	175593522	8.11	0	6085
4	21559079	168851900	7.83	0	2952
5	20978392	165522961	7.89	0	6114
6	20779476	170539075	8.21	0	3439
7	20310676	160034921	7.88	0	5606
NW_024396985.1	154489	2678353	17.34	0	1563
NW_024396986.1	123767	497646	4.02	0	50
8	20387885	161519932	7.92	0	5131
9	19838782	157747233	7.95	0	6555
10	19543518	154697857	7.92	0	4764
11	19417568	150717735	7.76	0	3296
12	19375358	151202908	7.80	0	2200
13	18562731	145989749	7.86	0	7630
14	18514894	145677792	7.87	0	5049
15	18474722	146337577	7.92	0	6308
16	18405481	146365053	7.95	0	4548
17	17724597	139084888	7.85	0	4586
18	17526884	139565993	7.96	0	5303
19	17516122	160339426	9.15	0	47575
20	17491101	136373434	7.80	0	4744
21	17150347	131778310	7.68	0	3007
22	15154462	118759954	7.84	0	6613
23	13181978	106021555	8.04	0	4766
24	13052829	107774238	8.26	0	3656
25	11599638	93567369	8.07	0	5385
26	9871873	90515772	9.17	0	8914
27	8980196	71548447	7.97	0	1423
W	2084383	4165386	2.00	0	129
NW_024396987.1	1336113	2601412	1.95	0	71
NW_024396988.1	721200	1169978	1.62	0	44
NW_024396989.1	702408	1112688	1.58	0	37
NW_024396990.1	436298	641022	1.47	0	41
NW_024396991.1	291364	674296	2.31	0	41
NW_024396992.1	183897	331142	1.80	0	35
NW_024396993.1	90180	144032	1.60	0	34
NW_024396994.1	58461	2990	0.05	0	2
Z	27171456	221512552	8.15	0	4590
NW_024396995.1	62500	521764	8.35	0	27
NW_024396996.1	298258	668329	2.24	0	62
NW_024396997.1	273553	294455	1.08	0	48
NW_024396998.1	156241	630255	4.03	0	50
NW_024396999.1	99202	154312	1.56	0	25
NW_024397000.1	94916	102791	1.08	0	23
NW_024397001.1	88807	88829	1.00	0	9
NW_024397002.1	64072	158811	2.48	0	15
NW_024397003.1	61578	69574	1.13	0	15
NW_024397004.1	58052	129860	2.24	0	162
NW_024397005.1	54715	58140	1.06	0	13
NW_024397006.1	47058	152261	3.24	0	14
NW_024397007.1	43016	49611	1.15	0	7
NW_024397008.1	36087	47320	1.31	0	11
NW_024397009.1	35142	62466	1.78	0	18
NW_024397010.1	34603	8481	0.25	0	8
NW_024397011.1	27521	1166	0.04	0	2
NW_024397012.1	26419	49019	1.86	0	19
NW_024397013.1	25606	1145	0.04	0	2
NW_024397014.1	15516	264985	17.08	0	44
NW_024397015.1	14473	30055	2.08	0	20
total	516571003	4085388894	7.91	0	47575
