chrom	length	bases	mean	min	max
1	21295481	166120213	7.80	0	3239
NW_024396975.1	388293	2293684	5.91	0	440
NW_024396976.1	23224	100681	4.34	0	19
NW_024396977.1	213546	712956	3.34	0	26
NW_024396978.1	91398	443502	4.85	0	85
NW_024396979.1	80962	318907	3.94	0	32
NW_024396980.1	66562	155006	2.33	0	35
NW_024396981.1	46539	167289	3.59	0	21
NW_024396982.1	40329	216246	5.36	0	28
NW_024396983.1	33728	100685	2.99	0	14
NW_024396984.1	28623	131396	4.59	0	17
2	22235516	173572282	7.81	0	1210
3	21656862	171179286	7.90	0	3337
4	21559079	167024434	7.75	0	1406
5	20978392	162218656	7.73	0	3485
6	20779476	166029894	7.99	0	2094
7	20310676	156868757	7.72	0	3733
NW_024396985.1	154489	2796369	18.10	0	1349
NW_024396986.1	123767	621032	5.02	0	59
8	20387885	157784918	7.74	0	3341
9	19838782	154372567	7.78	0	4365
10	19543518	151194457	7.74	0	3003
11	19417568	148694191	7.66	0	2034
12	19375358	148957026	7.69	0	1901
13	18562731	142028764	7.65	0	4602
14	18514894	143675139	7.76	0	2678
15	18474722	142873594	7.73	0	4119
16	18405481	144503824	7.85	0	5416
17	17724597	134685671	7.60	0	3352
18	17526884	137304021	7.83	0	3504
19	17516122	147650193	8.43	0	62401
20	17491101	134445215	7.69	0	3156
21	17150347	129315362	7.54	0	1693
22	15154462	116274233	7.67	0	3086
23	13181978	105042552	7.97	0	3315
24	13052829	105844651	8.11	0	2563
25	11599638	92773110	8.00	0	2991
26	9871873	90222742	9.14	0	3749
27	8980196	72061201	8.02	0	997
W	2084383	4130476	1.98	0	105
NW_024396987.1	1336113	2576613	1.93	0	61
NW_024396988.1	721200	1079606	1.50	0	41
NW_024396989.1	702408	1132792	1.61	0	37
NW_024396990.1	436298	640032	1.47	0	34
NW_024396991.1	291364	649252	2.23	0	34
NW_024396992.1	183897	342595	1.86	0	28
NW_024396993.1	90180	149917	1.66	0	33
NW_024396994.1	58461	2244	0.04	0	2
Z	27171456	217592597	8.01	0	4338
NW_024396995.1	62500	581766	9.31	0	44
NW_024396996.1	298258	793202	2.66	0	65
NW_024396997.1	273553	413741	1.51	0	16
NW_024396998.1	156241	624911	4.00	0	54
NW_024396999.1	99202	197138	1.99	0	23
NW_024397000.1	94916	129882	1.37	0	26
NW_024397001.1	88807	126452	1.42	0	11
NW_024397002.1	64072	167405	2.61	0	16
NW_024397003.1	61578	92890	1.51	0	25
NW_024397004.1	58052	181192	3.12	0	202
NW_024397005.1	54715	71554	1.31	0	22
NW_024397006.1	47058	153824	3.27	0	15
NW_024397007.1	43016	68360	1.59	0	10
NW_024397008.1	36087	49659	1.38	0	15
NW_024397009.1	35142	63859	1.82	0	18
NW_024397010.1	34603	49429	1.43	0	27
NW_024397011.1	27521	2528	0.09	0	3
NW_024397012.1	26419	56456	2.14	0	39
NW_024397013.1	25606	596	0.02	0	1
NW_024397014.1	15516	263398	16.98	0	48
NW_024397015.1	14473	34214	2.36	0	20
total	516571003	4003193286	7.75	0	62401
