chrom	length	bases	mean	min	max
1	21295481	224052355	10.52	0	11035
NW_024396975.1	388293	3632600	9.36	0	537
NW_024396976.1	23224	232175	10.00	0	42
NW_024396977.1	213546	1256393	5.88	0	61
NW_024396978.1	91398	990376	10.84	0	142
NW_024396979.1	80962	707669	8.74	0	99
NW_024396980.1	66562	300678	4.52	0	35
NW_024396981.1	46539	375277	8.06	0	63
NW_024396982.1	40329	468069	11.61	0	82
NW_024396983.1	33728	236677	7.02	0	45
NW_024396984.1	28623	264652	9.25	0	37
2	22235516	232647947	10.46	0	2608
3	21656862	230125415	10.63	0	11714
4	21559079	223855252	10.38	0	4401
5	20978392	217660994	10.38	0	10841
6	20779476	224203373	10.79	0	5742
7	20310676	213048709	10.49	0	13514
NW_024396985.1	154489	4137624	26.78	0	2311
NW_024396986.1	123767	1011529	8.17	0	112
8	20387885	212515694	10.42	0	7406
9	19838782	209781950	10.57	0	12895
10	19543518	203139041	10.39	0	7201
11	19417568	198703850	10.23	0	6667
12	19375358	199776806	10.31	0	4769
13	18562731	194181330	10.46	0	19830
14	18514894	192595063	10.40	0	6703
15	18474722	194911842	10.55	0	13107
16	18405481	197372018	10.72	0	9324
17	17724597	183356377	10.34	0	10826
18	17526884	183939219	10.49	0	10484
19	17516122	197240621	11.26	0	30628
20	17491101	179573193	10.27	0	10001
21	17150347	170216565	9.92	0	3822
22	15154462	158772422	10.48	0	9227
23	13181978	142391480	10.80	0	11258
24	13052829	138728919	10.63	0	8616
25	11599638	121651456	10.49	0	10283
26	9871873	116015027	11.75	0	14686
27	8980196	93608119	10.42	0	2244
W	2084383	5263172	2.53	0	136
NW_024396987.1	1336113	3141744	2.35	0	104
NW_024396988.1	721200	1345729	1.87	0	58
NW_024396989.1	702408	1488950	2.12	0	50
NW_024396990.1	436298	783349	1.80	0	52
NW_024396991.1	291364	848812	2.91	0	55
NW_024396992.1	183897	368962	2.01	0	44
NW_024396993.1	90180	131540	1.46	0	36
NW_024396994.1	58461	3940	0.07	0	2
Z	27171456	285213623	10.50	0	8682
NW_024396995.1	62500	735972	11.78	0	46
NW_024396996.1	298258	804766	2.70	0	79
NW_024396997.1	273553	403943	1.48	0	16
NW_024396998.1	156241	786456	5.03	0	61
NW_024396999.1	99202	203419	2.05	0	34
NW_024397000.1	94916	146004	1.54	0	48
NW_024397001.1	88807	114896	1.29	0	16
NW_024397002.1	64072	186190	2.91	0	22
NW_024397003.1	61578	92146	1.50	0	30
NW_024397004.1	58052	200965	3.46	0	217
NW_024397005.1	54715	71113	1.30	0	12
NW_024397006.1	47058	572181	12.16	0	66
NW_024397007.1	43016	64250	1.49	0	16
NW_024397008.1	36087	68904	1.91	0	30
NW_024397009.1	35142	86726	2.47	0	36
NW_024397010.1	34603	53008	1.53	0	26
NW_024397011.1	27521	1774	0.06	0	2
NW_024397012.1	26419	94577	3.58	0	38
NW_024397013.1	25606	1642	0.06	0	3
NW_024397014.1	15516	289309	18.65	0	63
NW_024397015.1	14473	32535	2.25	0	38
total	516571003	5371279353	10.40	0	30628
