chrom	length	bases	mean	min	max
1	21295481	226861193	10.65	0	7147
NW_024396975.1	388293	3294586	8.48	0	578
NW_024396976.1	23224	149848	6.45	0	22
NW_024396977.1	213546	914916	4.28	0	34
NW_024396978.1	91398	688329	7.53	0	105
NW_024396979.1	80962	542464	6.70	0	48
NW_024396980.1	66562	247474	3.72	0	34
NW_024396981.1	46539	264255	5.68	0	31
NW_024396982.1	40329	358936	8.90	0	44
NW_024396983.1	33728	173058	5.13	0	26
NW_024396984.1	28623	198773	6.94	0	29
2	22235516	235101462	10.57	0	1740
3	21656862	234852006	10.84	0	8273
4	21559079	226063555	10.49	0	2851
5	20978392	220460523	10.51	0	8062
6	20779476	226940180	10.92	0	3953
7	20310676	214942208	10.58	0	9329
NW_024396985.1	154489	3882859	25.13	0	1505
NW_024396986.1	123767	886631	7.16	0	118
8	20387885	215567063	10.57	0	4881
9	19838782	211510923	10.66	0	10825
10	19543518	206061120	10.54	0	6840
11	19417568	201785097	10.39	0	4951
12	19375358	203607902	10.51	0	3551
13	18562731	196839682	10.60	0	13874
14	18514894	194643901	10.51	0	5078
15	18474722	197234607	10.68	0	10055
16	18405481	195985371	10.65	0	7349
17	17724597	187223034	10.56	0	7469
18	17526884	186503014	10.64	0	8967
19	17516122	214782900	12.26	0	27988
20	17491101	182713666	10.45	0	8278
21	17150347	176312005	10.28	0	1681
22	15154462	159538273	10.53	0	6643
23	13181978	142440447	10.81	0	9351
24	13052829	141601112	10.85	0	6176
25	11599638	124389016	10.72	0	6247
26	9871873	116073250	11.76	0	9742
27	8980196	96295493	10.72	0	2084
W	2084383	64659180	31.02	0	220
NW_024396987.1	1336113	36145425	27.05	0	125
NW_024396988.1	721200	22566302	31.29	0	170
NW_024396989.1	702408	14799055	21.07	0	114
NW_024396990.1	436298	11858064	27.18	0	99
NW_024396991.1	291364	9641798	33.09	0	187
NW_024396992.1	183897	3546357	19.28	0	98
NW_024396993.1	90180	2317041	25.69	0	172
NW_024396994.1	58461	1550986	26.53	0	75
Z	27171456	160741922	5.92	0	5614
NW_024396995.1	62500	783169	12.53	0	57
NW_024396996.1	298258	871459	2.92	0	74
NW_024396997.1	273553	403993	1.48	0	23
NW_024396998.1	156241	926075	5.93	0	61
NW_024396999.1	99202	222016	2.24	0	31
NW_024397000.1	94916	161677	1.70	0	37
NW_024397001.1	88807	132080	1.49	0	25
NW_024397002.1	64072	212968	3.32	0	17
NW_024397003.1	61578	85406	1.39	0	21
NW_024397004.1	58052	196666	3.39	0	202
NW_024397005.1	54715	74633	1.36	0	22
NW_024397006.1	47058	304069	6.46	0	31
NW_024397007.1	43016	67647	1.57	0	14
NW_024397008.1	36087	58639	1.62	0	19
NW_024397009.1	35142	971163	27.64	0	94
NW_024397010.1	34603	842451	24.35	0	52
NW_024397011.1	27521	757968	27.54	0	54
NW_024397012.1	26419	68068	2.58	0	36
NW_024397013.1	25606	663265	25.90	0	52
NW_024397014.1	15516	324216	20.90	0	93
NW_024397015.1	14473	343552	23.74	0	48
total	516571003	5484228442	10.62	0	27988
