chrom	length	bases	mean	min	max
1	21295481	273778288	12.86	0	13852
NW_024396975.1	388293	3993062	10.28	0	635
NW_024396976.1	23224	213998	9.21	0	39
NW_024396977.1	213546	1221660	5.72	0	62
NW_024396978.1	91398	938239	10.27	0	166
NW_024396979.1	80962	725046	8.96	0	69
NW_024396980.1	66562	318058	4.78	0	44
NW_024396981.1	46539	325824	7.00	0	48
NW_024396982.1	40329	423842	10.51	0	65
NW_024396983.1	33728	210185	6.23	0	35
NW_024396984.1	28623	247329	8.64	0	32
2	22235516	286695421	12.89	0	4310
3	21656862	285237554	13.17	0	16546
4	21559079	273866572	12.70	0	8114
5	20978392	269736088	12.86	0	17979
6	20779476	275188689	13.24	0	9008
7	20310676	261261803	12.86	0	17177
NW_024396985.1	154489	4773303	30.90	0	2841
NW_024396986.1	123767	1192306	9.63	0	107
8	20387885	262657073	12.88	0	16033
9	19838782	258689084	13.04	0	18319
10	19543518	251267294	12.86	0	11391
11	19417568	244099733	12.57	0	10369
12	19375358	251149259	12.96	0	6124
13	18562731	241116126	12.99	0	30268
14	18514894	237601098	12.83	0	13429
15	18474722	240422070	13.01	0	16946
16	18405481	238148904	12.94	0	12221
17	17724597	226893215	12.80	0	13990
18	17526884	225937666	12.89	0	13798
19	17516122	264094920	15.08	0	50476
20	17491101	220366936	12.60	0	12514
21	17150347	213042042	12.42	0	7815
22	15154462	194253792	12.82	0	16210
23	13181978	177558251	13.47	0	15249
24	13052829	171341761	13.13	0	10593
25	11599638	149568241	12.89	0	17499
26	9871873	141881109	14.37	0	30999
27	8980196	121514129	13.53	0	4938
W	2084383	73252582	35.14	0	313
NW_024396987.1	1336113	39377609	29.47	0	140
NW_024396988.1	721200	24431556	33.88	0	186
NW_024396989.1	702408	16171060	23.02	0	116
NW_024396990.1	436298	12805021	29.35	0	139
NW_024396991.1	291364	10504252	36.05	0	208
NW_024396992.1	183897	3716154	20.21	0	78
NW_024396993.1	90180	2451749	27.19	0	211
NW_024396994.1	58461	1692145	28.94	0	69
Z	27171456	192240618	7.08	0	12641
NW_024396995.1	62500	847772	13.56	0	73
NW_024396996.1	298258	991601	3.32	0	79
NW_024396997.1	273553	493126	1.80	0	80
NW_024396998.1	156241	997097	6.38	0	58
NW_024396999.1	99202	289307	2.92	0	37
NW_024397000.1	94916	189270	1.99	0	51
NW_024397001.1	88807	169624	1.91	0	21
NW_024397002.1	64072	220015	3.43	0	23
NW_024397003.1	61578	115908	1.88	0	32
NW_024397004.1	58052	261810	4.51	0	262
NW_024397005.1	54715	90171	1.65	0	11
NW_024397006.1	47058	239838	5.10	0	29
NW_024397007.1	43016	84485	1.96	0	22
NW_024397008.1	36087	83231	2.31	0	25
NW_024397009.1	35142	1036493	29.49	0	120
NW_024397010.1	34603	858804	24.82	0	60
NW_024397011.1	27521	802225	29.15	0	60
NW_024397012.1	26419	108332	4.10	0	51
NW_024397013.1	25606	690271	26.96	0	59
NW_024397014.1	15516	275712	17.77	0	55
NW_024397015.1	14473	340276	23.51	0	58
total	516571003	6657778084	12.89	0	50476
