chrom	length	bases	mean	min	max
1	21295481	266986778	12.54	0	9431
NW_024396975.1	388293	2946909	7.59	0	681
NW_024396976.1	23224	143136	6.16	0	32
NW_024396977.1	213546	849588	3.98	0	33
NW_024396978.1	91398	536477	5.87	0	87
NW_024396979.1	80962	381334	4.71	0	30
NW_024396980.1	66562	180580	2.71	0	58
NW_024396981.1	46539	184788	3.97	0	21
NW_024396982.1	40329	236125	5.85	0	41
NW_024396983.1	33728	107356	3.18	0	17
NW_024396984.1	28623	140239	4.90	0	19
2	22235516	278775317	12.54	0	3840
3	21656862	274691223	12.68	0	9460
4	21559079	266029799	12.34	0	4891
5	20978392	261119587	12.45	0	10454
6	20779476	265511566	12.78	0	6621
7	20310676	250531598	12.33	0	10272
NW_024396985.1	154489	4065586	26.32	0	2119
NW_024396986.1	123767	957425	7.74	0	107
8	20387885	253733509	12.45	0	7981
9	19838782	247149317	12.46	0	11349
10	19543518	243609552	12.46	0	8653
11	19417568	237476301	12.23	0	5672
12	19375358	239029897	12.34	0	3812
13	18562731	228915051	12.33	0	15949
14	18514894	230980556	12.48	0	9057
15	18474722	230979185	12.50	0	10925
16	18405481	232973846	12.66	0	7415
17	17724597	216246848	12.20	0	8736
18	17526884	218617409	12.47	0	10228
19	17516122	245375050	14.01	0	104800
20	17491101	214148812	12.24	0	8499
21	17150347	203078895	11.84	0	5012
22	15154462	185026459	12.21	0	9915
23	13181978	163720209	12.42	0	9920
24	13052829	161175722	12.35	0	7039
25	11599638	140948243	12.15	0	8890
26	9871873	132285720	13.40	0	12714
27	8980196	112182195	12.49	0	3849
W	2084383	6258041	3.00	0	133
NW_024396987.1	1336113	3928378	2.94	0	86
NW_024396988.1	721200	1719196	2.38	0	62
NW_024396989.1	702408	1773601	2.53	0	60
NW_024396990.1	436298	1057907	2.42	0	50
NW_024396991.1	291364	1064430	3.65	0	55
NW_024396992.1	183897	528581	2.87	0	53
NW_024396993.1	90180	217790	2.42	0	36
NW_024396994.1	58461	6853	0.12	0	3
Z	27171456	347097106	12.77	0	8471
NW_024396995.1	62500	864013	13.82	0	51
NW_024396996.1	298258	987520	3.31	0	113
NW_024396997.1	273553	442316	1.62	0	22
NW_024396998.1	156241	725769	4.65	0	56
NW_024396999.1	99202	233233	2.35	0	36
NW_024397000.1	94916	163474	1.72	0	46
NW_024397001.1	88807	141020	1.59	0	19
NW_024397002.1	64072	219701	3.43	0	22
NW_024397003.1	61578	94355	1.53	0	16
NW_024397004.1	58052	259812	4.48	0	405
NW_024397005.1	54715	86706	1.58	0	9
NW_024397006.1	47058	333331	7.08	0	27
NW_024397007.1	43016	70885	1.65	0	21
NW_024397008.1	36087	69990	1.94	0	21
NW_024397009.1	35142	110270	3.14	0	27
NW_024397010.1	34603	59232	1.71	0	31
NW_024397011.1	27521	1896	0.07	0	3
NW_024397012.1	26419	77975	2.95	0	35
NW_024397013.1	25606	2016	0.08	0	3
NW_024397014.1	15516	258435	16.66	0	51
NW_024397015.1	14473	48695	3.36	0	27
total	516571003	6380930714	12.35	0	104800
