chrom	length	bases	mean	min	max
1	21295481	193872266	9.10	0	5623
NW_024396975.1	388293	3157047	8.13	0	698
NW_024396976.1	23224	173458	7.47	0	26
NW_024396977.1	213546	960665	4.50	0	43
NW_024396978.1	91398	750213	8.21	0	146
NW_024396979.1	80962	542642	6.70	0	76
NW_024396980.1	66562	245530	3.69	0	30
NW_024396981.1	46539	292851	6.29	0	43
NW_024396982.1	40329	372486	9.24	0	48
NW_024396983.1	33728	186725	5.54	0	30
NW_024396984.1	28623	227205	7.94	0	30
2	22235516	202511231	9.11	0	1749
3	21656862	200441625	9.26	0	5620
4	21559079	192795747	8.94	0	2561
5	20978392	189425243	9.03	0	5751
6	20779476	194917759	9.38	0	3154
7	20310676	183968532	9.06	0	6205
NW_024396985.1	154489	3504981	22.69	0	1960
NW_024396986.1	123767	607805	4.91	0	47
8	20387885	184557750	9.05	0	3618
9	19838782	181430976	9.15	0	6671
10	19543518	176455939	9.03	0	4699
11	19417568	172196473	8.87	0	3528
12	19375358	175082297	9.04	0	3025
13	18562731	168166790	9.06	0	8253
14	18514894	167776397	9.06	0	4629
15	18474722	168358880	9.11	0	6490
16	18405481	168830811	9.17	0	8127
17	17724597	159570558	9.00	0	5452
18	17526884	159567615	9.10	0	6120
19	17516122	179459438	10.25	0	37246
20	17491101	156632205	8.95	0	5454
21	17150347	149479315	8.72	0	2330
22	15154462	136472142	9.01	0	5352
23	13181978	122559720	9.30	0	5867
24	13052829	123826920	9.49	0	4381
25	11599638	108818708	9.38	0	5178
26	9871873	102439952	10.38	0	7568
27	8980196	82907929	9.23	0	1534
W	2084383	4479034	2.15	0	119
NW_024396987.1	1336113	2788650	2.09	0	69
NW_024396988.1	721200	1207364	1.67	0	46
NW_024396989.1	702408	1293720	1.84	0	44
NW_024396990.1	436298	688867	1.58	0	39
NW_024396991.1	291364	707816	2.43	0	34
NW_024396992.1	183897	340656	1.85	0	33
NW_024396993.1	90180	154823	1.72	0	29
NW_024396994.1	58461	6023	0.10	0	3
Z	27171456	252336734	9.29	0	4452
NW_024396995.1	62500	521674	8.35	0	31
NW_024396996.1	298258	734489	2.46	0	102
NW_024396997.1	273553	288639	1.06	0	16
NW_024396998.1	156241	716780	4.59	0	69
NW_024396999.1	99202	173467	1.75	0	31
NW_024397000.1	94916	109793	1.16	0	42
NW_024397001.1	88807	97086	1.09	0	16
NW_024397002.1	64072	182583	2.85	0	17
NW_024397003.1	61578	73073	1.19	0	19
NW_024397004.1	58052	169222	2.92	0	243
NW_024397005.1	54715	58931	1.08	0	7
NW_024397006.1	47058	171814	3.65	0	25
NW_024397007.1	43016	52627	1.22	0	9
NW_024397008.1	36087	52638	1.46	0	18
NW_024397009.1	35142	94739	2.70	0	29
NW_024397010.1	34603	10537	0.30	0	7
NW_024397011.1	27521	2591	0.09	0	3
NW_024397012.1	26419	50696	1.92	0	42
NW_024397013.1	25606	1985	0.08	0	3
NW_024397014.1	15516	347032	22.37	0	63
NW_024397015.1	14473	30546	2.11	0	23
total	516571003	4681489455	9.06	0	37246
