chrom	length	bases	mean	min	max
1	21295481	1128543051	52.99	0	19872
NW_024396975.1	388293	12999113	33.48	0	1615
NW_024396976.1	23224	865743	37.28	0	129
NW_024396977.1	213546	4783062	22.40	0	217
NW_024396978.1	91398	3540759	38.74	0	421
NW_024396979.1	80962	2483179	30.67	0	299
NW_024396980.1	66562	1226191	18.42	0	266
NW_024396981.1	46539	1260404	27.08	0	233
NW_024396982.1	40329	1663052	41.24	0	320
NW_024396983.1	33728	820148	24.32	0	86
NW_024396984.1	28623	979161	34.21	0	109
2	22235516	1188138397	53.43	0	2886
3	21656862	1154739927	53.32	0	31093
4	21559079	1131377405	52.48	0	6954
5	20978392	1106021971	52.72	0	26051
6	20779476	1121989432	54.00	0	14287
7	20310676	1082607522	53.30	0	32627
NW_024396985.1	154489	14772027	95.62	0	3502
NW_024396986.1	123767	4734728	38.26	0	408
8	20387885	1076837622	52.82	0	18100
9	19838782	1058633468	53.36	0	39301
10	19543518	1024726485	52.43	0	20664
11	19417568	1012978735	52.17	0	14998
12	19375358	1025968187	52.95	0	10040
13	18562731	980230865	52.81	0	41555
14	18514894	986968521	53.31	0	13627
15	18474722	984907094	53.31	0	40831
16	18405481	976258890	53.04	0	21128
17	17724597	938551361	52.95	0	23348
18	17526884	933059105	53.24	0	29222
19	17516122	992486153	56.66	0	259629
20	17491101	917552580	52.46	0	24867
21	17150347	872121041	50.85	0	4465
22	15154462	801697888	52.90	0	19106
23	13181978	715379416	54.27	0	26676
24	13052829	709380738	54.35	0	15871
25	11599638	617051176	53.20	0	18906
26	9871873	591649193	59.93	0	28712
27	8980196	493997520	55.01	0	5995
W	2084383	338747185	162.52	0	1264
NW_024396987.1	1336113	189783925	142.04	0	654
NW_024396988.1	721200	119548344	165.76	0	932
NW_024396989.1	702408	77747404	110.69	0	470
NW_024396990.1	436298	63565659	145.69	0	777
NW_024396991.1	291364	49602037	170.24	0	951
NW_024396992.1	183897	18812141	102.30	0	455
NW_024396993.1	90180	12434106	137.88	0	832
NW_024396994.1	58461	8873210	151.78	0	340
Z	27171456	800780600	29.47	0	16065
NW_024396995.1	62500	4063294	65.01	0	300
NW_024396996.1	298258	3413698	11.45	0	207
NW_024396997.1	273553	1685971	6.16	0	92
NW_024396998.1	156241	4197525	26.87	0	227
NW_024396999.1	99202	1238120	12.48	0	200
NW_024397000.1	94916	668267	7.04	0	254
NW_024397001.1	88807	559612	6.30	0	136
NW_024397002.1	64072	945944	14.76	0	73
NW_024397003.1	61578	402484	6.54	0	153
NW_024397004.1	58052	771213	13.28	0	334
NW_024397005.1	54715	329194	6.02	0	60
NW_024397006.1	47058	1900768	40.39	0	239
NW_024397007.1	43016	290488	6.75	0	71
NW_024397008.1	36087	317994	8.81	0	139
NW_024397009.1	35142	5246604	149.30	0	467
NW_024397010.1	34603	4492287	129.82	0	331
NW_024397011.1	27521	4276865	155.40	0	250
NW_024397012.1	26419	413527	15.65	0	288
NW_024397013.1	25606	3520360	137.48	0	246
NW_024397014.1	15516	1578536	101.74	0	276
NW_024397015.1	14473	1557754	107.63	1	245
total	516571003	27395746426	53.03	0	259629
