chrom	length	bases	mean	min	max
1	21295481	267541141	12.56	0	9347
NW_024396975.1	388293	4193573	10.80	0	480
NW_024396976.1	23224	231839	9.98	0	42
NW_024396977.1	213546	1479847	6.93	0	68
NW_024396978.1	91398	1157281	12.66	0	143
NW_024396979.1	80962	901425	11.13	0	99
NW_024396980.1	66562	400577	6.02	0	43
NW_024396981.1	46539	427962	9.20	0	72
NW_024396982.1	40329	533823	13.24	0	118
NW_024396983.1	33728	265487	7.87	0	34
NW_024396984.1	28623	303848	10.62	0	35
2	22235516	277872022	12.50	0	1778
3	21656862	275341596	12.71	0	12422
4	21559079	265514701	12.32	0	3873
5	20978392	262066183	12.49	0	11125
6	20779476	266808937	12.84	0	5356
7	20310676	251648039	12.39	0	14706
NW_024396985.1	154489	3597990	23.29	0	1655
NW_024396986.1	123767	1293552	10.45	0	144
8	20387885	254370463	12.48	0	7865
9	19838782	250410859	12.62	0	14486
10	19543518	242928059	12.43	0	9027
11	19417568	239452920	12.33	0	6539
12	19375358	240043662	12.39	0	4423
13	18562731	232500484	12.53	0	17897
14	18514894	230229538	12.43	0	6996
15	18474722	232388563	12.58	0	14717
16	18405481	230003993	12.50	0	8098
17	17724597	218724963	12.34	0	10735
18	17526884	220333362	12.57	0	12014
19	17516122	224656787	12.83	0	42879
20	17491101	215176307	12.30	0	10361
21	17150347	207029722	12.07	0	2354
22	15154462	187773490	12.39	0	8808
23	13181978	169234767	12.84	0	11913
24	13052829	164133175	12.57	0	8114
25	11599638	142720694	12.30	0	9846
26	9871873	135124854	13.69	0	14358
27	8980196	119447880	13.30	0	5466
W	2084383	76974383	36.93	0	276
NW_024396987.1	1336113	42996377	32.18	0	129
NW_024396988.1	721200	26981805	37.41	0	209
NW_024396989.1	702408	17627386	25.10	0	129
NW_024396990.1	436298	14253210	32.67	0	167
NW_024396991.1	291364	11446568	39.29	0	231
NW_024396992.1	183897	4288512	23.32	0	124
NW_024396993.1	90180	2723800	30.20	0	237
NW_024396994.1	58461	1899849	32.50	0	75
Z	27171456	188680432	6.94	0	7751
NW_024396995.1	62500	1009292	16.15	0	73
NW_024396996.1	298258	1106498	3.71	0	64
NW_024396997.1	273553	618377	2.26	0	20
NW_024396998.1	156241	839952	5.38	0	54
NW_024396999.1	99202	363145	3.66	0	50
NW_024397000.1	94916	215865	2.27	0	49
NW_024397001.1	88807	201852	2.27	0	27
NW_024397002.1	64072	235489	3.68	0	19
NW_024397003.1	61578	151438	2.46	0	33
NW_024397004.1	58052	234216	4.03	0	107
NW_024397005.1	54715	114683	2.10	0	12
NW_024397006.1	47058	238459	5.07	0	30
NW_024397007.1	43016	105266	2.45	0	15
NW_024397008.1	36087	82463	2.29	0	32
NW_024397009.1	35142	1122799	31.95	0	85
NW_024397010.1	34603	1005636	29.06	0	85
NW_024397011.1	27521	919084	33.40	0	63
NW_024397012.1	26419	109035	4.13	0	54
NW_024397013.1	25606	778221	30.39	0	67
NW_024397014.1	15516	264063	17.02	0	52
NW_024397015.1	14473	388538	26.85	0	88
total	516571003	6436241058	12.46	0	42879
