chrom	length	bases	mean	min	max
1	21295481	177166196	8.32	0	3505
NW_024396975.1	388293	2704045	6.96	0	353
NW_024396976.1	23224	161730	6.96	0	23
NW_024396977.1	213546	834587	3.91	0	37
NW_024396978.1	91398	670796	7.34	0	111
NW_024396979.1	80962	494075	6.10	0	69
NW_024396980.1	66562	219927	3.30	0	43
NW_024396981.1	46539	256421	5.51	0	41
NW_024396982.1	40329	326505	8.10	0	51
NW_024396983.1	33728	163920	4.86	0	25
NW_024396984.1	28623	192849	6.74	0	26
2	22235516	184808971	8.31	0	670
3	21656862	181562475	8.38	0	4814
4	21559079	177044098	8.21	0	1076
5	20978392	172696134	8.23	0	4261
6	20779476	177920221	8.56	0	2029
7	20310676	167151685	8.23	0	5137
NW_024396985.1	154489	2944648	19.06	0	1339
NW_024396986.1	123767	664154	5.37	0	84
8	20387885	168150337	8.25	0	3057
9	19838782	163405999	8.24	0	5768
10	19543518	159885667	8.18	0	3700
11	19417568	157878589	8.13	0	2328
12	19375358	158043085	8.16	0	1734
13	18562731	151068266	8.14	0	5714
14	18514894	152589550	8.24	0	1907
15	18474722	152244116	8.24	0	5967
16	18405481	152103601	8.26	0	4033
17	17724597	143481280	8.10	0	3865
18	17526884	145521637	8.30	0	4808
19	17516122	163178535	9.32	0	28499
20	17491101	142608964	8.15	0	4574
21	17150347	136167161	7.94	0	904
22	15154462	123028293	8.12	0	3656
23	13181978	110097107	8.35	0	4770
24	13052829	110836121	8.49	0	3340
25	11599638	96235945	8.30	0	2632
26	9871873	92720659	9.39	0	3772
27	8980196	73364159	8.17	0	1181
W	2084383	51150373	24.54	0	178
NW_024396987.1	1336113	28642799	21.44	0	96
NW_024396988.1	721200	18131573	25.14	0	137
NW_024396989.1	702408	11899220	16.94	0	85
NW_024396990.1	436298	9788742	22.44	0	81
NW_024396991.1	291364	7686139	26.38	0	146
NW_024396992.1	183897	2918988	15.87	0	74
NW_024396993.1	90180	1954337	21.67	0	183
NW_024396994.1	58461	1325956	22.68	0	55
Z	27171456	125870540	4.63	0	3074
NW_024396995.1	62500	631009	10.10	0	43
NW_024396996.1	298258	666404	2.23	0	48
NW_024396997.1	273553	252417	0.92	0	13
NW_024396998.1	156241	562101	3.60	0	58
NW_024396999.1	99202	161511	1.63	0	29
NW_024397000.1	94916	87900	0.93	0	26
NW_024397001.1	88807	71803	0.81	0	13
NW_024397002.1	64072	159264	2.49	0	15
NW_024397003.1	61578	61105	0.99	0	17
NW_024397004.1	58052	133100	2.29	0	110
NW_024397005.1	54715	46012	0.84	0	27
NW_024397006.1	47058	216152	4.59	0	20
NW_024397007.1	43016	39769	0.92	0	11
NW_024397008.1	36087	38738	1.07	0	13
NW_024397009.1	35142	801886	22.82	0	90
NW_024397010.1	34603	707265	20.44	0	47
NW_024397011.1	27521	624174	22.68	0	45
NW_024397012.1	26419	55106	2.09	0	29
NW_024397013.1	25606	519281	20.28	0	46
NW_024397014.1	15516	284810	18.36	0	52
NW_024397015.1	14473	262911	18.17	0	36
total	516571003	4266343893	8.26	0	28499
