chrom	length	bases	mean	min	max
1	21295481	241670182	11.35	0	9618
NW_024396975.1	388293	3609696	9.30	0	968
NW_024396976.1	23224	139870	6.02	0	21
NW_024396977.1	213546	1035885	4.85	0	43
NW_024396978.1	91398	621130	6.80	0	124
NW_024396979.1	80962	495655	6.12	0	50
NW_024396980.1	66562	221382	3.33	0	37
NW_024396981.1	46539	227643	4.89	0	36
NW_024396982.1	40329	275426	6.83	0	39
NW_024396983.1	33728	141920	4.21	0	21
NW_024396984.1	28623	169885	5.94	0	27
2	22235516	251446189	11.31	0	2132
3	21656862	250826041	11.58	0	8679
4	21559079	241624610	11.21	0	3702
5	20978392	237768620	11.33	0	10119
6	20779476	241820646	11.64	0	5210
7	20310676	232051438	11.43	0	10541
NW_024396985.1	154489	5454976	35.31	0	2841
NW_024396986.1	123767	1123474	9.08	0	119
8	20387885	229393254	11.25	0	7418
9	19838782	226592288	11.42	0	10674
10	19543518	219321677	11.22	0	6131
11	19417568	218989080	11.28	0	5481
12	19375358	222169887	11.47	0	3784
13	18562731	210745151	11.35	0	15428
14	18514894	208897723	11.28	0	6305
15	18474722	210698588	11.40	0	10036
16	18405481	210665311	11.45	0	10090
17	17724597	200479484	11.31	0	8159
18	17526884	200327993	11.43	0	7987
19	17516122	251889556	14.38	0	42146
20	17491101	195190111	11.16	0	8354
21	17150347	190069748	11.08	0	3491
22	15154462	172222137	11.36	0	7579
23	13181978	156517225	11.87	0	8516
24	13052829	155223247	11.89	0	6633
25	11599638	137852148	11.88	0	8149
26	9871873	132997622	13.47	0	12758
27	8980196	107558416	11.98	0	1699
W	2084383	68013765	32.63	0	243
NW_024396987.1	1336113	37351111	27.96	0	146
NW_024396988.1	721200	22804910	31.62	0	203
NW_024396989.1	702408	14643991	20.85	0	105
NW_024396990.1	436298	11679915	26.77	0	138
NW_024396991.1	291364	9647955	33.11	0	212
NW_024396992.1	183897	3492549	18.99	0	90
NW_024396993.1	90180	2251737	24.97	0	173
NW_024396994.1	58461	1532437	26.21	0	58
Z	27171456	169730550	6.25	0	6986
NW_024396995.1	62500	797060	12.75	0	62
NW_024396996.1	298258	1119450	3.75	0	87
NW_024396997.1	273553	591700	2.16	0	21
NW_024396998.1	156241	930817	5.96	0	67
NW_024396999.1	99202	326271	3.29	0	40
NW_024397000.1	94916	194892	2.05	0	36
NW_024397001.1	88807	191408	2.16	0	17
NW_024397002.1	64072	216649	3.38	0	26
NW_024397003.1	61578	130486	2.12	0	35
NW_024397004.1	58052	304163	5.24	0	394
NW_024397005.1	54715	117729	2.15	0	13
NW_024397006.1	47058	208162	4.42	0	39
NW_024397007.1	43016	103367	2.40	0	20
NW_024397008.1	36087	97233	2.69	0	26
NW_024397009.1	35142	999412	28.44	0	96
NW_024397010.1	34603	829325	23.97	0	63
NW_024397011.1	27521	728352	26.47	0	46
NW_024397012.1	26419	108345	4.10	0	72
NW_024397013.1	25606	624302	24.38	0	54
NW_024397014.1	15516	336511	21.69	0	77
NW_024397015.1	14473	345381	23.86	0	58
total	516571003	5918975249	11.46	0	42146
