chrom	length	bases	mean	min	max
1	21295481	362667461	17.03	0	14281
NW_024396975.1	388293	5186865	13.36	0	1320
NW_024396976.1	23224	237612	10.23	0	34
NW_024396977.1	213546	1600080	7.49	0	63
NW_024396978.1	91398	1147865	12.56	0	176
NW_024396979.1	80962	886633	10.95	0	109
NW_024396980.1	66562	422286	6.34	0	56
NW_024396981.1	46539	420447	9.03	0	63
NW_024396982.1	40329	531081	13.17	0	81
NW_024396983.1	33728	265536	7.87	0	43
NW_024396984.1	28623	319290	11.16	0	39
2	22235516	375192191	16.87	0	4248
3	21656862	369572675	17.06	0	13460
4	21559079	360993509	16.74	0	7482
5	20978392	355026936	16.92	0	16579
6	20779476	359376332	17.29	0	9185
7	20310676	342471970	16.86	0	16435
NW_024396985.1	154489	6134008	39.71	0	3733
NW_024396986.1	123767	1475409	11.92	0	129
8	20387885	344069248	16.88	0	14251
9	19838782	337592652	17.02	0	16370
10	19543518	328444530	16.81	0	11832
11	19417568	326250519	16.80	0	9096
12	19375358	331900731	17.13	0	6223
13	18562731	313191953	16.87	0	28532
14	18514894	312055998	16.85	0	12269
15	18474722	314438245	17.02	0	14866
16	18405481	310283369	16.86	0	13091
17	17724597	296917973	16.75	0	13302
18	17526884	296846097	16.94	0	13628
19	17516122	326840286	18.66	0	56880
20	17491101	289643798	16.56	0	12388
21	17150347	279092468	16.27	0	6892
22	15154462	254817671	16.81	0	15412
23	13181978	224961088	17.07	0	14975
24	13052829	223556289	17.13	0	10184
25	11599638	197209152	17.00	0	15217
26	9871873	182626465	18.50	0	24065
27	8980196	164639018	18.33	0	8400
W	2084383	8385275	4.02	0	195
NW_024396987.1	1336113	5214709	3.90	0	95
NW_024396988.1	721200	2145110	2.97	0	78
NW_024396989.1	702408	2129927	3.03	0	76
NW_024396990.1	436298	1319662	3.02	0	74
NW_024396991.1	291364	1312351	4.50	0	65
NW_024396992.1	183897	639669	3.48	0	59
NW_024396993.1	90180	244949	2.72	0	53
NW_024396994.1	58461	6018	0.10	0	3
Z	27171456	467185697	17.19	0	12405
NW_024396995.1	62500	1182054	18.91	0	113
NW_024396996.1	298258	1374413	4.61	0	187
NW_024396997.1	273553	836608	3.06	0	114
NW_024396998.1	156241	1279157	8.19	0	72
NW_024396999.1	99202	418646	4.22	0	51
NW_024397000.1	94916	301555	3.18	0	60
NW_024397001.1	88807	263157	2.96	0	33
NW_024397002.1	64072	316919	4.95	0	34
NW_024397003.1	61578	185445	3.01	0	42
NW_024397004.1	58052	416746	7.18	0	726
NW_024397005.1	54715	146475	2.68	0	13
NW_024397006.1	47058	322728	6.86	0	31
NW_024397007.1	43016	134561	3.13	0	35
NW_024397008.1	36087	125561	3.48	0	31
NW_024397009.1	35142	135091	3.84	0	44
NW_024397010.1	34603	90811	2.62	0	41
NW_024397011.1	27521	2212	0.08	0	2
NW_024397012.1	26419	126273	4.78	0	72
NW_024397013.1	25606	3410	0.13	0	5
NW_024397014.1	15516	370029	23.85	0	72
NW_024397015.1	14473	73946	5.11	0	32
total	516571003	8695994900	16.83	0	56880
