chrom	length	bases	mean	min	max
1	21295481	221250273	10.39	0	5395
NW_024396975.1	388293	3127701	8.06	0	695
NW_024396976.1	23224	165115	7.11	0	26
NW_024396977.1	213546	970394	4.54	0	42
NW_024396978.1	91398	715396	7.83	0	117
NW_024396979.1	80962	557921	6.89	0	47
NW_024396980.1	66562	255782	3.84	0	37
NW_024396981.1	46539	249934	5.37	0	32
NW_024396982.1	40329	334261	8.29	0	50
NW_024396983.1	33728	171953	5.10	0	30
NW_024396984.1	28623	198815	6.95	0	26
2	22235516	230703146	10.38	0	1296
3	21656862	227254045	10.49	0	5836
4	21559079	219597253	10.19	0	1965
5	20978392	214431562	10.22	0	5735
6	20779476	219411704	10.56	0	2706
7	20310676	209209374	10.30	0	6874
NW_024396985.1	154489	3792930	24.55	0	1911
NW_024396986.1	123767	689236	5.57	0	58
8	20387885	209536941	10.28	0	3843
9	19838782	205629095	10.37	0	7510
10	19543518	199571747	10.21	0	4842
11	19417568	196762047	10.13	0	3302
12	19375358	197856640	10.21	0	2781
13	18562731	191314962	10.31	0	8794
14	18514894	190606081	10.29	0	3185
15	18474722	190810423	10.33	0	7550
16	18405481	191658782	10.41	0	6333
17	17724597	180996235	10.21	0	5638
18	17526884	181449139	10.35	0	6056
19	17516122	196954556	11.24	0	28644
20	17491101	177688072	10.16	0	6183
21	17150347	170508245	9.94	0	1425
22	15154462	154808070	10.22	0	4744
23	13181978	139455373	10.58	0	6384
24	13052829	138734975	10.63	0	4754
25	11599638	120837111	10.42	0	4389
26	9871873	115330446	11.68	0	6612
27	8980196	92355479	10.28	0	1521
W	2084383	61752366	29.63	0	208
NW_024396987.1	1336113	34212564	25.61	0	149
NW_024396988.1	721200	21464568	29.76	0	167
NW_024396989.1	702408	14190615	20.20	0	125
NW_024396990.1	436298	11405460	26.14	0	104
NW_024396991.1	291364	9053368	31.07	0	192
NW_024396992.1	183897	3395637	18.46	0	99
NW_024396993.1	90180	2212587	24.54	0	146
NW_024396994.1	58461	1530666	26.18	0	62
Z	27171456	156328433	5.75	0	3929
NW_024396995.1	62500	646527	10.34	0	34
NW_024396996.1	298258	788332	2.64	0	178
NW_024396997.1	273553	324367	1.19	0	24
NW_024396998.1	156241	746657	4.78	0	75
NW_024396999.1	99202	186960	1.88	0	30
NW_024397000.1	94916	134098	1.41	0	37
NW_024397001.1	88807	100419	1.13	0	17
NW_024397002.1	64072	190914	2.98	0	18
NW_024397003.1	61578	71517	1.16	0	17
NW_024397004.1	58052	174124	3.00	0	243
NW_024397005.1	54715	67061	1.23	0	33
NW_024397006.1	47058	173459	3.69	0	22
NW_024397007.1	43016	56024	1.30	0	12
NW_024397008.1	36087	56186	1.56	0	16
NW_024397009.1	35142	945277	26.90	0	109
NW_024397010.1	34603	831442	24.03	0	57
NW_024397011.1	27521	757967	27.54	0	51
NW_024397012.1	26419	60921	2.31	0	40
NW_024397013.1	25606	621767	24.28	0	53
NW_024397014.1	15516	311556	20.08	0	56
NW_024397015.1	14473	303602	20.98	0	55
total	516571003	5319046655	10.30	0	28644
