chrom	length	bases	mean	min	max
1	21295481	328880400	15.44	0	9813
NW_024396975.1	388293	4388835	11.30	0	1032
NW_024396976.1	23224	237813	10.24	0	41
NW_024396977.1	213546	1438792	6.74	0	69
NW_024396978.1	91398	1110401	12.15	0	157
NW_024396979.1	80962	836649	10.33	0	99
NW_024396980.1	66562	364465	5.48	0	41
NW_024396981.1	46539	410418	8.82	0	67
NW_024396982.1	40329	539599	13.38	0	80
NW_024396983.1	33728	254648	7.55	0	38
NW_024396984.1	28623	318765	11.14	0	46
2	22235516	340637670	15.32	0	2984
3	21656862	334665715	15.45	0	11175
4	21559079	326728281	15.16	0	4108
5	20978392	319834333	15.25	0	9229
6	20779476	328540880	15.81	0	6118
7	20310676	311136725	15.32	0	12345
NW_024396985.1	154489	5865267	37.97	0	2639
NW_024396986.1	123767	1149920	9.29	0	85
8	20387885	310930706	15.25	0	7465
9	19838782	305920422	15.42	0	11262
10	19543518	298258583	15.26	0	7385
11	19417568	292521100	15.06	0	5923
12	19375358	295114345	15.23	0	4293
13	18562731	281895250	15.19	0	16725
14	18514894	283431592	15.31	0	6915
15	18474722	284741863	15.41	0	11470
16	18405481	281384078	15.29	0	10844
17	17724597	267754764	15.11	0	10790
18	17526884	269877422	15.40	0	9961
19	17516122	283363537	16.18	0	52571
20	17491101	263329641	15.06	0	9415
21	17150347	250317135	14.60	0	4195
22	15154462	230003194	15.18	0	9788
23	13181978	208904269	15.85	0	10394
24	13052829	200831448	15.39	0	8238
25	11599638	176484846	15.21	0	9380
26	9871873	164050716	16.62	0	12452
27	8980196	137259598	15.28	0	2311
W	2084383	91270619	43.79	0	423
NW_024396987.1	1336113	49227149	36.84	0	189
NW_024396988.1	721200	30447606	42.22	0	246
NW_024396989.1	702408	20149001	28.69	0	142
NW_024396990.1	436298	15732098	36.06	0	172
NW_024396991.1	291364	13169623	45.20	0	297
NW_024396992.1	183897	4649705	25.28	0	123
NW_024396993.1	90180	2986200	33.11	0	286
NW_024396994.1	58461	2112114	36.13	0	80
Z	27171456	228866369	8.42	0	7906
NW_024396995.1	62500	1076633	17.23	0	52
NW_024396996.1	298258	1069910	3.59	0	121
NW_024396997.1	273553	524417	1.92	0	22
NW_024396998.1	156241	995357	6.37	0	68
NW_024396999.1	99202	307784	3.10	0	48
NW_024397000.1	94916	192835	2.03	0	62
NW_024397001.1	88807	171381	1.93	0	20
NW_024397002.1	64072	257105	4.01	0	40
NW_024397003.1	61578	114744	1.86	0	41
NW_024397004.1	58052	285369	4.92	0	380
NW_024397005.1	54715	101839	1.86	0	14
NW_024397006.1	47058	356542	7.58	0	39
NW_024397007.1	43016	82307	1.91	0	15
NW_024397008.1	36087	84637	2.35	0	26
NW_024397009.1	35142	1247197	35.49	0	111
NW_024397010.1	34603	1111193	32.11	0	82
NW_024397011.1	27521	983321	35.73	0	73
NW_024397012.1	26419	93234	3.53	0	53
NW_024397013.1	25606	870456	33.99	0	68
NW_024397014.1	15516	282571	18.21	0	59
NW_024397015.1	14473	429033	29.64	2	67
total	516571003	7862962434	15.22	0	52571
